50	1	 0	 1	 0	 0	 0	 1	 0	 1	 0	 0	 1	 0.289086	 0.317354	 0.705589
51	1	 0	 1	 0	 1	 1	 0	 0	 1	 0	 1	 0	 0.334149	 0.170675	 0.872565
52	0	 0	 1	 0	 0	 1	 0	 0	 1	 0	 1	 0	 0.324958	 0.138138	 0.767205
53	0	 0	 1	 0	 1	 0	 0	 0	 1	 1	 1	 0	 0.348924	 0.149123	 0.626149
54	1	 0	 1	 0	 0	 0	 1	 0	 1	 1	 1	 0	 0.303256	 0.355886	 0.822159
55	1	 0	 1	 0	 0	 0	 1	 0	 1	 0	 0	 1	 0.352855	 0.320566	 0.703699
56	1	 1	 0	 0	 1	 1	 0	 0	 0	 1	 1	 0	 0.280004	 0.206724	 0.776301
57	0	 1	 0	 0	 1	 1	 0	 0	 1	 0	 1	 0	 0.220302	 0.151488	 0.76569
58	1	 1	 0	 0	 1	 1	 0	 0	 1	 0	 0	 1	 0.235708	 0.208988	 0.636909
59	0	 0	 1	 0	 0	 1	 0	 0	 1	 1	 1	 0	 0.336303	 0.22729	 0.738787
60	0	 1	 0	 0	 1	 1	 0	 0	 1	 1	 1	 0	 0.21794	 0.180267	 0.720126
61	1	 1	 0	 0	 0	 0	 1	 0	 0	 0	 1	 0	 0.224358	 0.13201	 0.868042
62	1	 0	 1	 0	 1	 1	 0	 0	 0	 1	 1	 0	 0.35048	 0.219984	 0.853057
63	1	 1	 0	 0	 1	 1	 0	 0	 0	 1	 1	 0	 0.252062	 0.161592	 0.74739
64	1	 1	 0	 0	 0	 0	 1	 0	 1	 0	 0	 1	 0.233269	 0.251702	 0.67767
65	0	 0	 1	 0	 1	 1	 0	 0	 0	 1	 1	 0	 0.285089	 0.206828	 0.798183
66	0	 1	 0	 0	 0	 1	 0	 0	 1	 1	 1	 0	 0.254674	 0.141389	 0.664875
67	1	 1	 0	 0	 0	 0	 1	 0	 1	 0	 1	 0	 0.205822	 0.160667	 0.834849
68	0	 0	 1	 0	 0	 1	 0	 0	 1	 1	 1	 0	 0.319611	 0.220427	 0.777586
69	0	 1	 0	 0	 1	 1	 0	 0	 0	 1	 1	 0	 0.201912	 0.168089	 0.746151
70	0	 0	 1	 0	 1	 1	 0	 0	 1	 0	 1	 0	 0.312858	 0.152104	 0.861459
71	1	 0	 1	 0	 1	 1	 0	 0	 0	 0	 0	 1	 0.364934	 0.258414	 0.708937
72	1	 0	 1	 0	 0	 1	 1	 0	 1	 0	 0	 1	 0.320115	 0.348694	 0.632486
73	0	 1	 1	 0	 0	 1	 1	 0	 1	 0	 0	 1	 0.250779	 0.359022	 0.657481
74	0	 0	 1	 0	 0	 1	 0	 0	 0	 1	 1	 0	 0.333702	 0.195986	 0.793559
75	0	 1	 0	 0	 1	 1	 0	 0	 0	 1	 1	 0	 0.219279	 0.170971	 0.73749
