0	0.580557	 0.251334	 0.763736	 0.395527	 0.612586	 0.708498	 0.222015	 0.319416	 0.417188
1	0.746734	 0.375294	 0.721707	 0.368516	 0.314927	 0.835529	 0.23032	 0.127446	 0.391524
2	0.660344	 0.301654	 0.68814	 0.413902	 0.354653	 0.791211	 0.201471	 0.167178	 0.234607
3	0.67972	 0.325342	 0.742941	 0.383232	 0.47122	 0.762927	 0.241183	 0.230668	 0.332559
4	0.731811	 0.400741	 0.693734	 0.291145	 0.528572	 0.697984	 0.331498	 0.303874	 0.229492
5	0.638766	 0.290847	 0.64648	 0.413838	 0.375418	 0.785886	 0.20402	 0.178577	 0.119138
6	0.625465	 0.283443	 0.629032	 0.40333	 0.602362	 0.715583	 0.216066	 0.311341	 0.0723533
7	0.73573	 0.396724	 0.709437	 0.274121	 0.526773	 0.669961	 0.347438	 0.331056	 0.289471
8	0.557024	 0.256454	 0.618812	 0.454644	 0.625451	 0.732171	 0.166793	 0.315082	 0.0473495
9	0.558899	 0.236569	 0.781105	 0.392986	 0.631887	 0.700635	 0.221558	 0.331508	 0.4798
10	0.632576	 0.28775	 0.619818	 0.393382	 0.633196	 0.70044	 0.221013	 0.332131	 0.0526191
11	0.748071	 0.423301	 0.756537	 0.33476	 0.428777	 0.807308	 0.283732	 0.18294	 0.396155
12	0.526281	 0.236888	 0.727164	 0.419252	 0.670143	 0.706079	 0.193651	 0.344752	 0.354698
13	0.64522	 0.295893	 0.682415	 0.390157	 0.546611	 0.730919	 0.233442	 0.280077	 0.19378
14	0.712701	 0.360038	 0.704591	 0.307032	 0.55109	 0.685807	 0.312735	 0.318829	 0.266036
15	0.73768	 0.415539	 0.698409	 0.322071	 0.452875	 0.796849	 0.29943	 0.197713	 0.240107
16	0.656822	 0.288911	 0.694973	 0.328509	 0.622934	 0.652731	 0.276881	 0.362928	 0.289104
17	0.534427	 0.25237	 0.692762	 0.479553	 0.491737	 0.750534	 0.14544	 0.245834	 0.214299
18	0.500949	 0.249858	 0.67855	 0.493962	 0.534221	 0.749352	 0.131003	 0.267123	 0.182459
19	0.726873	 0.391579	 0.737009	 0.336702	 0.467657	 0.776398	 0.286953	 0.219081	 0.322476
20	0.516015	 0.246173	 0.808611	 0.459619	 0.56798	 0.741262	 0.164444	 0.285079	 0.493711
21	0.740617	 0.427437	 0.627534	 0.272263	 0.541232	 0.631851	 0.344703	 0.369596	 0.0870228
22	0.580797	 0.26048	 0.660371	 0.413629	 0.655203	 0.706174	 0.200405	 0.338246	 0.16399
23	0.705028	 0.356347	 0.641838	 0.33559	 0.550747	 0.708596	 0.286084	 0.298409	 0.10127
24	0.738016	 0.417365	 0.645855	 0.311638	 0.419666	 0.83743	 0.301988	 0.154653	 0.128227
25	0.636583	 0.283512	 0.718984	 0.439771	 0.370914	 0.774763	 0.180129	 0.181116	 0.302692
26	0.65158	 0.298016	 0.668656	 0.365469	 0.605738	 0.69392	 0.250034	 0.326306	 0.178703
